idx	word	raw	pos	infl	lookup	parent	deri	idk	js
15.2	mamlegraagtuuq#V	mamlegraagtuuq	V	[Ind.Intr]^[3Sg]		15	__hraag(V__)		{}
									
16	qepghaghtuuq#V	qepghaghtuuq	V	[Ind.Intr]^[3Sg]					{}
16.1	qepghaghaghtaghtuuq#V	qepghaghaghtaghtuuq	V	[Ind.Intr]^[3Sg]		16	~aghtagh(V__)		{}
16.2	qepghaghllaguuq#V	qepghaghllaguuq	V	[Ind.Intr]^[3Sg]		16	__hllagu(V__)		{}
16.3	qepghaghwaaghtuuq#V	qepghaghwaaghtuuq	V	[Ind.Intr]^[3Sg]		16	~_(ghw/ngw/w)aagh(V__)		{}
16.4	qepghaamaftuuq#V	qepghaamaftuuq	V	[Ind.Intr]^[3Sg]		16	@~:(i/u)mafte(V__)		{}
16.5	qepghalgutkuuq#V	qepghalgutkuuq	V	[Ind.Intr]^[3Sg]		16	__gutke(V__)		{}
16.6	qepghamsiightuuq#V	qepghamsiightuuq	V	[Ind.Intr]^[3Sg]		16	__siigh(V__)		{}
16.7	qepghamsugtuuq#V	qepghamsugtuuq	V	[Ind.Intr]^[3Sg]		16	__sug(V__)		{}
16.8	qepghaghnanightuuq#V	qepghaghnanightuuq	V	[Ind.Intr]^[3Sg]		16	@~fnanigh(V__)		{}
16.9	qepghaghnasiightuuq#V	qepghaghnasiightuuq	V	[Ind.Intr]^[3Sg]		16	@~fnasiigh(V__)		{}
16.1	qepghaghpagtuuq#V	qepghaghpagtuuq	V	[Ind.Intr]^[3Sg]		16	#NAME?		{}
16.11	qepghapagigatuuq#V	qepghapagigatuuq	V	[Ind.Intr]^[3Sg]		16	__agigate(V__)		{}
16.12	qepghapanghituuq#V	qepghapanghituuq	V	[Ind.Intr]^[3Sg]		16	__anghite(V__)		{}
16.13	qepgharakguughtuuq#V	qepgharakguughtuuq	V	[Ind.Intr]^[3Sg]		16	@~f__akguugh(V__)		{}
16.14	qepghasighwaaghtuuq#V	qepghasighwaaghtuuq	V	[Ind.Intr]^[3Sg]		16	__ighwaagh(V__)		{}
16.15	qepghayaagtuuq#V	qepghayaagtuuq	V	[Ind.Intr]^[3Sg]		16	@~f__aag(V__)		{}
16.16	qepghaghaquuq#V	qepghaghaquuq	V	[Ind.Intr]^[3Sg]		16	~(g)aqe(V__)		{}
16.17	qepghaghnanightuuq#V	qepghaghnanightuuq	V	[Ind.Intr]^[3Sg]		16	@~fnanigh(V__)		{}
16.18	qepghaamangituuq#V	qepghaamangituuq	V	[Ind.Intr]^[3Sg]		16	@~:(i/u)mangite(V__)		{}
16.19	qepghiigwatuuq#V	qepghiigwatuuq	V	[Ind.Intr]^[3Sg]		16	@~:(ng)igate(V__)		{}
									
17	talughtuuq#V	talughtuuq	V	[Ind.Intr]^[3Sg]					{}
17.1	talughaghtaghtuuq#V	talughaghtaghtuuq	V	[Ind.Intr]^[3Sg]		17	~aghtagh(V__)		{}
									
18	avegtuuq#V	avegtuuq	V	[Ind.Intr]^[3Sg]					{}
18.1	aavgaghtuuq#V	aavgaghtuuq	V	[Ind.Intr]^[3Sg]		18	~aghte(V__)		{}
18.2	aavgiiq#V	aavgiiq	V	[Ind.Intr]^[3Sg]		18	~i(V__)		{}
18.3	aavgumaaq#V	aavgumaaq	V	[Ind.Intr]^[3Sg]		18	@~:(i/u)ma(V__)		{}
18.4	avenaaq#N	avenaaq	N	[Abs.Sg]		18	@~f__egh(V__)		{}
18.5	aafkaghtuuq#V	aafkaghtuuq	V	[Ind.Intr]^[3Sg]		18	~__agh(V__)		{}
18.6	aafkumtaaq#N	aafkumtaaq	N	[Abs.Sg]		18	~__umtaagh(V__)		{}
18.7	avegtughtuuq#V	avegtughtuuq	V	[Ind.Intr]^[3Sg]		18	#NAME?		{}
18.8	aavgiiq#V	aavgiiq	V	[Ind.Intr]^[3Sg]		18	~i(V__)		{}
									
19	neghuuq#V	neghuuq	V	[Ind.Intr]^[3Sg]					{}
19.1	neghyugtuuq#V	neghyugtuuq	V	[Ind.Intr]^[3Sg]		19	@~fyug(V__)		{}
19.2	neghenghituuq#V	neghenghituuq	V	[Ind.Intr]^[3Sg]		19	@__ghite(V__)		{}
19.3	neghegkaaguuq#V	neghegkaaguuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kau(V__)		{}
19.4	neghegkaaguuq#V	neghegkaaguuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kau(V__)		{}
19.5	neghegkaaq#N	neghegkaaq	N	[Abs.Sg]		19	@~_(g)kagh(V__)		{}
19.6	neghegkaaq#N	neghegkaaq	N	[Abs.Sg]		19	@~_(g)kagh(V__)		{}
19.7	neghegkaquuq#V	neghegkaquuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaqe(V__)		{}
19.8	neghegkaquuq#V	neghegkaquuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaqe(V__)		{}
19.9	neghegkaayaghtuuq#V	neghegkaayaghtuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaayagh(V__)		{}
19.1	neghegkaayaghtuuq#V	neghegkaayaghtuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaayagh(V__)		{}
19.11	neghegkaqsaghtuuq#V	neghegkaqsaghtuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaqsagh(V__)		{}
19.12	neghegkaqsaghtuuq#V	neghegkaqsaghtuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kaqsagh(V__)		{}
19.13	neghegkayugwuuq#V	neghegkayugwuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kayugu(V__)		{}
19.14	neghegkayugwuuq#V	neghegkayugwuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kayugu(V__)		{}
19.15	neghegkayugwuuq#V	neghegkayugwuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kayugu(V__)		{}
19.16	neghegkayugwuuq#V	neghegkayugwuuq	V	[Ind.Intr]^[3Sg]		19	@~_(g)kayugu(V__)		{}
19.17	neghumaaq#V	neghumaaq	V	[Ind.Intr]^[3Sg]		19	@~:(i/u)ma(V__)		{}
19.18	neghumangituuq#V	neghumangituuq	V	[Ind.Intr]^[3Sg]		19	@~:(i/u)mangite(V__)		{}
19.19	neghelghii#N	neghelghii	N	[Abs.Sg]		19	@__ghii(V__)		{}
19.2	neghellaagtuuq#V	neghellaagtuuq	V	[Ind.Intr]^[3Sg]		19	__laag(V__)		{}
19.21	neghellghituuq#V	neghellghituuq	V	[Ind.Intr]^[3Sg]		19	__lghite(V__)		{}
19.22	neghemsugtuuq#V	neghemsugtuuq	V	[Ind.Intr]^[3Sg]		19	__sug(V__)		{}
19.23	neghnaaq#V	neghnaaq	V	[Ind.Intr]^[3Sg]		19	@~fna(V__)		{}
19.24	neghnaaq#V	neghnaaq	V	[Ind.Intr]^[3Sg]		19	@~fna(V__)		{}
19.25	neghnaanghituuq#V	neghnaanghituuq	V	[Ind.Intr]^[3Sg]		19	@~fnaanghite(V__)		{}
19.26	neghnayaghtuuq#V	neghnayaghtuuq	V	[Ind.Intr]^[3Sg]		19	@~fnayagh(V__)		{}
19.27	neghenghiightuuq#V	neghenghiightuuq	V	[Ind.Intr]^[3Sg]		19	@__ghiighte(V__)		{}
19.28	neghepagtuuq#V	neghepagtuuq	V	[Ind.Intr]^[3Sg]		19	#NAME?		{}
19.29	neghepanghituuq#V	neghepanghituuq	V	[Ind.Intr]^[3Sg]		19	__anghite(V__)		{}
19.3	neghuutuuq#V	neghuutuuq	V	[Ind.Intr]^[3Sg]		19	~(q/t)uute(V__)		{}
19.31	neghqumtaaq#N	neghqumtaaq	N	[Abs.Sg]		19	~__umtaagh(V__)		{}
19.32	neghesaghaghtuuq#V	neghesaghaghtuuq	V	[Ind.Intr]^[3Sg]		19	#NAME?		{}
19.33	neghesigwatuuq#V	neghesigwatuuq	V	[Ind.Intr]^[3Sg]		19	+(te)sigate(CmpdVbl)		{}
